,particle_type,jet mass,jet charge
0,Z/Z,8.664682388305664,-0.33481705947258755
1,Z/Z,16.335437774658203,-0.16181732967741616
2,Z/Z,11.103841781616211,0.6803460020037025
3,Z/Z,20.413728713989258,-0.26716609314115486
4,Z/Z,12.360871315002441,-0.94480900768691
5,Z/Z,128.18504333496094,-0.25144388405952545
6,Z/Z,17.372697830200195,0.05048640597500137
7,Z/Z,9.507883071899414,-0.09894228431471978
8,Z/Z,19.792749404907227,-0.5346576763704841
9,Z/Z,11.689632415771484,0.0007044484367567869
10,Z/Z,6.466394901275635,0.014190160723085377
11,Z/Z,25.092348098754883,0.18288414242088596
12,Z/Z,16.815628051757812,0.016920736879962206
13,Z/Z,38.20600128173828,0.32928969886323306
14,Z/Z,11.987076759338379,-0.052963043478246305
15,Z/Z,17.713281631469727,-0.23560708620428938
16,Z/Z,24.50748062133789,0.04417424935214541
17,Z/Z,15.607926368713379,-0.007128929500652735
18,Z/Z,56.50722885131836,-0.24198917055828068
19,Z/Z,7.0868659019470215,-0.41800644576051726
20,Z/Z,24.482900619506836,0.3438699081101616
21,Z/Z,12.546460151672363,-0.3583205331385803
22,Z/Z,34.22792053222656,-0.021424254504733863
23,Z/Z,8.667011260986328,0.008362141037733636
24,Z/Z,12.271013259887695,-0.005569396853503633
25,Z/Z,22.920455932617188,0.1813480436121261
26,Z/Z,15.258681297302246,0.296904742693907
27,Z/Z,18.235197067260742,-0.17312661777081606
28,Z/Z,31.45380210876465,0.05501511248465019
29,Z/Z,5.309468746185303,-0.1948688873906362
30,Z/Z,15.4876127243042,0.2859100279090304
31,Z/Z,39.807579040527344,-0.22081706862114958
32,Z/Z,11.140782356262207,-0.3991522580951212
33,Z/Z,17.209503173828125,-0.0450610708921752
34,Z/Z,30.48919677734375,-0.3626024118758441
35,Z/Z,13.15331745147705,-0.5031292549547438
36,Z/Z,11.7951021194458,0.1529875963715409
37,Z/Z,15.997034072875977,-0.09217343126522609
38,Z/Z,2.792064666748047,-0.2130821665597357
39,Z/Z,9.6862154006958,0.18091051277093162
40,Z/Z,20.844377517700195,0.7054580517551331
41,Z/Z,28.377464294433594,0.3095084380206512
42,Z/Z,18.613162994384766,0.023646082533219537
43,Z/Z,12.935931205749512,0.303197258022992
