,particle_type,jet mass,jet charge
0,W+/W-,37.59749984741211,-1.9698160126302457
1,W+/W-,34.52912139892578,1.5863871401322602
2,W+/W-,6.222047328948975,0.36567776670014585
3,W-/W+,18.047069549560547,-0.5606817784193836
4,W+/W-,17.056800842285156,2.0099978141766055
5,W+/W-,15.2330322265625,-0.45383495019968956
6,W-/W+,15.191069602966309,1.3074395212028294
7,W+/W-,19.64125633239746,1.6131767372727341
8,W-/W+,9.303153038024902,-0.5848833108210966
9,W+/W-,43.08047103881836,2.098457649700448
10,W-/W+,7.972055912017822,-1.653311182734246
11,W+/W-,21.33934211730957,1.08445928012237
12,W-/W+,27.296611785888672,0.19812299255803856
13,W+/W-,4.903903007507324,0.24001977511706507
14,W-/W+,21.636173248291016,-0.73011816289423
15,W+/W-,18.669689178466797,0.596540758787675
16,W+/W-,6.948694705963135,1.1768127302082063
17,W+/W-,10.007288932800293,2.9547808625870275
18,W-/W+,7.692060947418213,1.479541770790854
19,W-/W+,6.434381008148193,0.994292287924006
20,W+/W-,21.702173233032227,1.5427716507813323
21,W-/W+,18.325862884521484,0.4990288613378273
22,W-/W+,16.68168830871582,-0.055864473489728006
23,W+/W-,29.903221130371094,0.21196165927033295
24,W-/W+,17.935651779174805,-4.077031252712337
25,W-/W+,29.5395565032959,-0.1374591889561742
26,W-/W+,18.62952995300293,1.7877234144809928
27,W-/W+,5.1896796226501465,0.602610781995674
28,W+/W-,13.413294792175293,-2.1250629277137203
29,W-/W+,18.037817001342773,-1.656076183642802
30,W+/W-,13.72726058959961,0.7269547355058764
31,W-/W+,26.117389678955078,0.43648643281931676
32,W+/W-,18.604700088500977,0.7218765144113418
33,W+/W-,35.15191650390625,-0.18149099155064097
34,W-/W+,22.310503005981445,-0.11307404284657796
35,W+/W-,54.327919006347656,0.484198140275342
36,W-/W+,8.641679763793945,-0.03246768927814081
37,W-/W+,11.300329208374023,1.679584828001552
38,W-/W+,33.718196868896484,-0.02638104980462408
39,W-/W+,17.803024291992188,-0.6874165437086034
40,W+/W-,20.125743865966797,0.1523474820906331
41,W-/W+,8.198111534118652,0.4764080113106872
42,W+/W-,20.707731246948242,0.49386229038558427
43,W+/W-,25.410261154174805,0.20590012522646173
44,W-/W+,39.735496520996094,0.01407019505194651
45,W+/W-,16.701295852661133,1.5443345532495232
46,W+/W-,9.784321784973145,0.9725408637759686
47,W-/W+,18.56071662902832,-0.48099396862758703
48,W+/W-,15.99448013305664,-1.1321816739214112
49,W-/W+,9.406855583190918,1.9007987344402983
50,W+/W-,23.432226181030273,-0.5675659169747824
51,W-/W+,11.266411781311035,-0.31120442325140185
52,W-/W+,60.38319396972656,-0.39448218630272036
53,W+/W-,44.5106315612793,-1.2718242824122576
54,W-/W+,13.5453519821167,0.6194607698122584
55,W+/W-,10.262858390808105,0.34833678541355484
56,W+/W-,18.158235549926758,-1.8274246200175432
57,W+/W-,26.544883728027344,1.0992724393782092
58,W-/W+,13.231990814208984,-0.5130597103641141
59,W-/W+,12.92837142944336,1.451972515509786
60,W-/W+,8.174942016601562,0.12578371168637092
61,W+/W-,32.59389877319336,3.0741875364587283
62,W+/W-,23.42271614074707,0.012123523713958195
63,W-/W+,7.568538665771484,-1.0818195010683505
64,W+/W-,22.62581443786621,-1.5005480130600044
65,W-/W+,16.996173858642578,-0.995730776447754
66,W+/W-,4.509223461151123,-1.3989564761978182
67,W-/W+,21.2404842376709,2.3726846025993127
68,W-/W+,9.865446090698242,0.0035487407042587016
69,W+/W-,8.709738731384277,1.6195532986433538
70,W-/W+,37.49195861816406,0.4312392342282691
71,W-/W+,17.36541748046875,0.1718267983044659
72,W-/W+,18.75916862487793,0.9485500474235768
73,W+/W-,20.733827590942383,1.8302615451431197
74,W+/W-,16.168270111083984,1.4893456697808394
75,W-/W+,17.98365020751953,-1.2360810702116867
76,W-/W+,35.18529510498047,-1.8309693449434525
77,W-/W+,20.971132278442383,-1.129796650480078
78,W+/W-,12.169977188110352,-1.7014125327205742
79,W-/W+,16.049007415771484,0.3554903348141271
80,W+/W-,15.956880569458008,-4.666546856728147
81,W+/W-,6.2989115715026855,1.0839220428202556
82,W+/W-,31.446577072143555,-1.5516371062525178
83,W-/W+,12.672104835510254,1.173068222285285
84,W+/W-,9.897259712219238,-2.0397017709338785
85,W+/W-,27.176382064819336,0.4980710961256135
86,W+/W-,18.462018966674805,0.3649749702582702
87,W-/W+,12.390182495117188,1.6251360163086426
88,W+/W-,32.28342819213867,-1.3549747710454887
89,W-/W+,10.443292617797852,-1.5132068702399915
90,W+/W-,10.400567054748535,-1.8999809930651996
91,W+/W-,14.001168251037598,0.7746618317027512
92,W-/W+,4.370068550109863,1.7841150431477515
93,W-/W+,6.698535919189453,-1.8972769863687944
94,W+/W-,21.706703186035156,0.6426590922705271
95,W-/W+,18.999591827392578,-4.772543303680674
96,W+/W-,33.629608154296875,1.4071253638292638
97,W+/W-,31.0235652923584,-0.7397270478167086
98,W-/W+,27.627559661865234,1.6357117460840858
99,W+/W-,24.004674911499023,0.7590809930022345
100,W-/W+,6.82532262802124,-0.6822571661425405
101,W-/W+,6.655486583709717,-0.736106418127109
102,W-/W+,7.935353755950928,0.16580310852841862
103,W-/W+,14.272931098937988,1.2909350084248659
104,W+/W-,16.052675247192383,0.856640061258826
105,W+/W-,13.136059761047363,1.3030983373428882
106,W+/W-,22.851987838745117,-1.1267700398570524
107,W-/W+,10.689085960388184,3.267109691485213
108,W-/W+,11.674576759338379,0.21486461171175264
109,W+/W-,13.776067733764648,1.003025696917079
110,W-/W+,14.18492317199707,-0.3691278893086237
111,W+/W-,22.857711791992188,1.1729446374407686
112,W+/W-,35.64009475708008,-2.0877189031474623
113,W-/W+,23.768938064575195,-2.9059343363728565
114,W-/W+,23.627853393554688,-2.0266092333909382
115,W-/W+,6.942445278167725,0.24101632726218036
116,W-/W+,20.631837844848633,0.36035472197074686
117,W+/W-,11.147848129272461,-2.14793125976564
118,W-/W+,23.9838924407959,-1.310292622138773
119,W-/W+,17.63058853149414,-0.24091565312799967
120,W-/W+,25.65146255493164,0.10882261797721837
121,W+/W-,20.511180877685547,-0.8043919162714732
122,W+/W-,26.901567459106445,0.7267767302203384
123,W-/W+,6.611026763916016,0.9624658836718489
124,W-/W+,11.505875587463379,-1.1255723493160454
125,W+/W-,10.251812934875488,-2.940591043209573
126,W-/W+,20.68396759033203,-1.3389022581576606
127,W-/W+,14.43255615234375,-0.07237667637589007
128,W+/W-,24.145050048828125,-1.190648199901854
129,W-/W+,26.663135528564453,0.9389764335094977
130,W+/W-,14.226876258850098,0.7383203632396897
131,W-/W+,23.680156707763672,-1.76123767507593
132,W+/W-,15.94942855834961,-0.630001334050667
133,W-/W+,8.38335132598877,-1.2504400484910856
134,W+/W-,11.857065200805664,-0.2478430004482869
135,W-/W+,23.38153076171875,-3.286090505757037
136,W+/W-,20.010181427001953,1.259703027155872
137,W-/W+,19.067487716674805,1.4513163589015132
138,W-/W+,20.203842163085938,-0.9491069197389443
139,W-/W+,5.479812145233154,2.36351542799375
140,W+/W-,19.99691390991211,-4.609585457046019
141,W-/W+,19.75655174255371,-0.8510650437939494
142,W-/W+,8.53825569152832,-0.899791802121524
143,W+/W-,8.134138107299805,-0.6826021297297691
144,W+/W-,3.842790365219116,0.8590439930535869
145,W-/W+,10.073582649230957,0.4303925985118128
146,W-/W+,11.25940227508545,-2.020036213777719
147,W-/W+,24.34247398376465,-0.744876145776323
148,W+/W-,10.28819465637207,-0.15768995855312107
149,W+/W-,22.73467254638672,-0.9642201851399667
150,W-/W+,10.025263786315918,-0.7676892213637294
151,W-/W+,14.232101440429688,-0.7564826363947214
152,W-/W+,18.884078979492188,-4.023442396755556
153,W-/W+,28.110595703125,1.039488062028559
154,W+/W-,15.524894714355469,0.7751588984885395
155,W-/W+,23.864646911621094,1.374018820760687
156,W-/W+,15.826651573181152,0.6587792581914547
157,W+/W-,9.29090690612793,0.8014894543470231
158,W-/W+,23.417844772338867,1.6040476824661096
159,W+/W-,13.419761657714844,1.9512521126508364
160,W-/W+,20.843591690063477,-0.5428168451012912
161,W-/W+,8.066474914550781,-2.482486296956359
162,W+/W-,10.854348182678223,0.1459851904193703
163,W+/W-,13.620524406433105,3.6078444468268143
164,W+/W-,16.282745361328125,0.5082166818976297
165,W+/W-,6.306790351867676,-1.657936785149518
166,W+/W-,7.441792011260986,-1.554103906385507
167,W+/W-,21.511947631835938,-1.0703406689710098
168,W-/W+,10.425655364990234,-0.8717524725438807
169,W-/W+,16.463829040527344,-0.5059514277746522
170,W-/W+,9.265518188476562,1.3904521093533968
171,W-/W+,22.894716262817383,-1.8370298316998817
172,W+/W-,41.24805450439453,1.5430229763330694
173,W-/W+,31.52581214904785,-0.21500815799610729
174,W-/W+,13.962966918945312,-0.8421744812637044
175,W+/W-,13.232439994812012,1.1579178319484649
176,W-/W+,12.446121215820312,0.12013190259306739
177,W+/W-,25.713037490844727,3.4096627070642334
178,W+/W-,21.960840225219727,0.43916357769661785
179,W+/W-,22.91775894165039,1.9902919934623564
180,W-/W+,27.826786041259766,0.8341903262153795
181,W+/W-,30.820648193359375,0.1826354817909167
182,W-/W+,10.029147148132324,-2.637786341869182
183,W-/W+,10.487958908081055,-1.9216068260621597
184,W-/W+,12.215344429016113,0.31281794409408165
185,W+/W-,10.042377471923828,1.239252295848266
186,W+/W-,9.834446907043457,-0.45080312270761724
187,W+/W-,14.6787748336792,-0.9001829560182631
188,W-/W+,15.320342063903809,-0.3171456874544132
189,W+/W-,21.761751174926758,1.2115514703055763
190,W+/W-,7.248861312866211,-0.13402393332873075
191,W-/W+,13.633458137512207,-2.3118790861933696
192,W-/W+,15.42251968383789,-1.3471217200348544
193,W-/W+,29.44990348815918,1.5046499837534553
194,W-/W+,11.523398399353027,-0.10353828191375403
195,W+/W-,16.80772590637207,-3.4718423653259363
196,W+/W-,10.875835418701172,0.5275549277156388
197,W-/W+,14.835917472839355,0.06665861323784383
198,W-/W+,14.481754302978516,-0.4463063997612325
199,W+/W-,24.705469131469727,1.037846038708917
200,W+/W-,43.46684265136719,1.7494584567196068
201,W+/W-,19.985794067382812,-0.3950207041650922
202,W-/W+,33.03840637207031,-0.7525959605243087
203,W-/W+,9.779528617858887,0.09421535717954288
204,W+/W-,20.8530216217041,1.1896703827100388
205,W+/W-,23.442527770996094,1.8344532846353734
206,W-/W+,23.39797592163086,-2.4831424590630284
207,W+/W-,23.987821578979492,-0.4747491067294851
208,W-/W+,18.678173065185547,-0.8473685693353972
209,W-/W+,14.978293418884277,0.912908471108264
210,W-/W+,19.031784057617188,2.3147155469302025
211,W+/W-,17.860063552856445,0.859797294367206
212,W-/W+,8.90141487121582,1.8434786219246908
213,W+/W-,22.909461975097656,-0.11934054795100618
214,W+/W-,13.46666145324707,0.27805053322210693
215,W-/W+,17.01825714111328,-0.714460654282579
216,W+/W-,11.848335266113281,0.15172090770587376
217,W+/W-,17.708927154541016,-2.19542094650814
218,W-/W+,8.899429321289062,0.24962929488522623
219,W+/W-,14.76503849029541,1.3618343497522716
220,W+/W-,21.774412155151367,-0.30194925445858534
221,W-/W+,23.538284301757812,-0.9425663240788211
222,W+/W-,7.6575493812561035,1.414572290357789
223,W-/W+,11.433282852172852,-0.07451040066269599
224,W-/W+,24.255111694335938,1.3778540141898423
225,W-/W+,27.972755432128906,2.6156058474810218
226,W+/W-,9.517937660217285,-2.3290499556293165
227,W+/W-,15.498353958129883,-0.7797787323325905
228,W+/W-,11.963788986206055,-1.3759670715962267
229,W-/W+,51.893089294433594,1.1531421827798405
230,W-/W+,6.779898643493652,1.8329419321344012
231,W-/W+,79.5517349243164,0.40717094328782866
232,W+/W-,24.980220794677734,2.241091240782657
233,W-/W+,19.21109962463379,-3.4279281283750445
234,W+/W-,21.969921112060547,0.08542815754748068
235,W-/W+,10.911283493041992,0.7367312861238995
236,W+/W-,17.426477432250977,2.990432118904559
237,W+/W-,32.61153030395508,1.5132376271468613
238,W-/W+,21.05066680908203,1.539292575640405
239,W+/W-,59.228797912597656,-2.8009830333429777
240,W-/W+,3.7665319442749023,-1.2786260163313548
241,W+/W-,25.982906341552734,4.451487212955728
242,W-/W+,14.791577339172363,1.0111674775374748
243,W-/W+,26.00296401977539,1.2556902278579372
244,W+/W-,39.054405212402344,-0.7794348573196701
245,W-/W+,16.65074348449707,-0.2730196571068897
246,W+/W-,20.974422454833984,-0.12093690826061698
247,W-/W+,7.128381252288818,-1.7134817131028486
248,W+/W-,6.466728687286377,2.2288964259930664
249,W+/W-,29.13994598388672,1.2323843216814248
250,W+/W-,34.951202392578125,0.8917518760628821
251,W-/W+,22.09889030456543,-0.104320547404952
252,W-/W+,10.93311882019043,-1.7018048795047878
253,W-/W+,9.949814796447754,-1.0910510070446209
254,W-/W+,21.709001541137695,-0.03637840159376843
255,W-/W+,11.749507904052734,0.40034971340072123
256,W+/W-,22.160938262939453,1.1529885331935614
257,W-/W+,13.574409484863281,2.337549829921278
258,W+/W-,15.255352973937988,0.5274485098685426
259,W-/W+,7.002552032470703,-2.3958438657555567
260,W-/W+,7.133260726928711,0.5562720305204538
261,W-/W+,9.778228759765625,0.21207825881361908
262,W+/W-,42.25590515136719,0.5791139107333696
263,W+/W-,18.61597442626953,-1.3031256523703978
264,W-/W+,15.906347274780273,2.3869280346839608
265,W-/W+,12.581036567687988,-1.6458064788939368
266,W+/W-,8.187128067016602,-0.9949698779977161
267,W-/W+,7.535268306732178,0.04105209498979978
268,W-/W+,5.690761566162109,-1.6063391831581946
269,W+/W-,9.866256713867188,0.10401002466712339
270,W-/W+,19.35914421081543,0.42483286656957575
271,W-/W+,41.893924713134766,-3.1620206049841553
272,W+/W-,51.32527542114258,1.8935591635145566
273,W+/W-,21.759197235107422,0.856889887562129
274,W-/W+,33.20561981201172,-0.11864078876962686
