,particle_type,jet mass,jet charge
0,W-/W+,17.88727378845215,-0.4721070463099927
1,W+/W-,27.911531448364258,0.16601071846736892
2,W-/W+,21.497901916503906,-2.125777607988288
3,W-/W+,28.66510009765625,-0.999766708134718
4,W+/W-,30.032358169555664,2.5552722709020492
5,W-/W+,21.519941329956055,-0.5138458428074021
6,W+/W-,24.52185821533203,0.3841366565369608
7,W+/W-,16.20216941833496,-1.5240697157644076
8,W+/W-,34.876258850097656,0.3722077782717822
9,W+/W-,23.41451644897461,-0.2338335716361859
10,W-/W+,35.040470123291016,-0.9698871809996781
11,W-/W+,53.968021392822266,-1.8220262922781063
12,W+/W-,30.799121856689453,-0.2461682273166006
13,W+/W-,30.769086837768555,-0.18484575804078907
14,W+/W-,15.858592987060547,-1.2721646419608459
15,W-/W+,17.504533767700195,0.511953936339454
16,W+/W-,71.97367095947266,1.48582725437739
17,W+/W-,26.487335205078125,-2.0449275237507396
18,W-/W+,33.60380554199219,-0.10856864980213499
19,W+/W-,16.087303161621094,0.0022004088268879896
20,W+/W-,22.037254333496094,0.7681621914090881
21,W-/W+,28.406997680664062,0.859509551079415
22,W-/W+,16.993803024291992,-0.027220425068824716
23,W+/W-,30.23577308654785,0.08206602683184994
24,W+/W-,20.836952209472656,-0.5653113491001254
25,W+/W-,27.029977798461914,-0.45433450772746375
26,W-/W+,27.136201858520508,-1.4121943111267532
27,W-/W+,22.27721405029297,1.6659299779400747
28,W+/W-,11.32529354095459,-1.249730444514225
29,W-/W+,24.152986526489258,-1.1973959878309595
30,W-/W+,20.566436767578125,0.6538321017082094
31,W+/W-,34.2325553894043,-1.8412972501063276
32,W+/W-,46.40958786010742,-1.4723672344646235
33,W+/W-,88.81053161621094,2.9558994397576632
34,W+/W-,40.17595672607422,-1.6730708062446589
35,W-/W+,14.988850593566895,-1.0490431348191551
36,W+/W-,22.64396095275879,1.4266854027243179
37,W+/W-,52.55265426635742,-1.5935989314510262
38,W+/W-,34.2577018737793,-0.8414001278489668
39,W+/W-,25.96939468383789,2.0820765331540514
40,W-/W+,45.91468048095703,-3.3670158017373577
41,W+/W-,38.14338684082031,3.1129858715875294
42,W+/W-,39.43336868286133,-2.2721886523217454
